Date,Value
2022-09-19T17:52:19.517813Z,-90.8
2022-09-19T17:57:14.183842Z,-91.2
2022-09-19T18:02:19.151865Z,-90.8
2022-09-19T18:07:21.894564Z,-90.7
2022-09-19T18:12:03.073212Z,-92.1
2022-09-19T18:17:54.156172Z,-92.3
2022-09-19T18:22:09.692756Z,-92.0
2022-09-19T18:27:17.855464Z,-92.5
2022-09-19T18:32:23.688885Z,-92.0
2022-09-19T18:37:20.958719Z,-92.1
2022-09-19T18:47:24.176705Z,-92.0
2022-09-19T18:52:27.288545Z,-92.4
2022-09-19T18:56:55.864648Z,-91.9
2022-09-19T19:02:26.377558Z,-92.0
2022-09-19T19:07:18.642135Z,-91.7
2022-09-19T19:12:22.385622Z,-91.4
2022-09-19T19:16:57.397235Z,-91.4
2022-09-19T19:22:05.731804Z,-91.2
2022-09-19T19:26:43.000250Z,-91.2
2022-09-19T19:32:18.921519Z,-91.0
2022-09-19T19:37:26.629802Z,-91.2
2022-09-19T19:42:22.978763Z,-90.9
2022-09-19T19:47:35.606102Z,-91.4
2022-09-19T19:52:40.056021Z,-91.4
2022-09-19T19:57:23.159554Z,-91.5
2022-09-19T20:02:22.632792Z,-90.2
2022-09-19T20:07:38.514953Z,-90.3
2022-09-19T20:11:52.786830Z,-90.1
2022-09-19T20:17:02.253309Z,-90.5
2022-09-19T20:22:31.019741Z,-90.0
2022-09-19T20:27:19.601939Z,-90.5
2022-09-19T20:32:20.964410Z,-90.2
2022-09-19T20:37:13.237893Z,-90.1
2022-09-19T20:41:57.938394Z,-90.3
2022-09-19T20:48:12.769342Z,-90.9
2022-09-19T20:51:52.671775Z,-91.4
2022-09-19T20:57:40.093983Z,-91.5
2022-09-19T21:02:23.731115Z,-91.1
2022-09-19T21:08:08.931189Z,-90.6
2022-09-19T21:13:17.597031Z,-90.5
2022-09-19T21:17:09.238574Z,-91.6
2022-09-19T21:22:19.104386Z,-92.2
2022-09-19T21:27:24.027689Z,-90.6
2022-09-19T21:32:31.969869Z,-81.6
2022-09-19T21:37:12.835283Z,-92.4
2022-09-19T21:42:11.720939Z,-92.2
2022-09-19T21:47:07.706598Z,-92.7
2022-09-19T21:52:31.329230Z,-92.4
2022-09-19T21:57:36.820984Z,-91.9
2022-09-19T22:02:02.265761Z,-91.9
2022-09-19T22:07:14.835116Z,-91.5
2022-09-19T22:12:48.821159Z,-92.0
2022-09-19T22:17:27.638163Z,-91.1
2022-09-19T22:22:34.017524Z,-84.2
2022-09-19T22:27:12.478539Z,-89.5
2022-09-19T22:32:26.840759Z,-89.6
2022-09-19T22:37:37.069948Z,-76.4
2022-09-19T22:42:22.229748Z,-89.8
2022-09-19T22:47:27.244598Z,-89.1
2022-09-19T22:52:20.032732Z,-88.9
2022-09-19T22:56:55.950855Z,-89.9
2022-09-19T23:02:21.432595Z,-88.8
2022-09-19T23:07:35.512555Z,-89.3
2022-09-19T23:11:42.117123Z,-90.0
2022-09-19T23:17:31.150582Z,-89.2
2022-09-19T23:22:31.848937Z,-90.6
2022-09-19T23:27:19.530966Z,-90.9
2022-09-19T23:32:24.326359Z,-91.8
2022-09-19T23:37:38.389450Z,-92.0
2022-09-19T23:42:27.165465Z,-90.0
2022-09-19T23:47:43.708660Z,-85.2
2022-09-19T23:52:20.585267Z,-89.8
2022-09-19T23:56:51.337342Z,-90.6
